 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,History,21,5,6,6,81.0%,1,85.7%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Mathematics,71,17,18,13,67.6%,13,85.9%,10
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Modern Studies,71,20,16,16,73.2%,9,85.9%,10
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Music,10,3,3,3,90.0%,0,90.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Physical Education,43,25,14,2,95.3%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Physics,31,7,8,4,61.3%,6,80.6%,6
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Practical Cookery,25,4,11,6,84.0%,3,96.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Practical Woodworking,26,11,11,2,92.3%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,"Religious, Moral and Philosophical Studies",26,7,3,8,69.2%,1,73.1%,7
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Spanish,16,8,6,1,93.8%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Accounting,6,1,0,0,16.7%,0,16.7%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Applications of Mathematics,18,4,3,4,61.1%,2,72.2%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Art and Design,14,0,6,3,64.3%,5,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Business Management,12,2,2,4,66.7%,4,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Chemistry,24,3,10,2,62.5%,6,87.5%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Computing Science,13,2,4,2,61.5%,3,84.6%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Drama,8,4,2,2,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Engineering Science,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,English,78,8,23,24,70.5%,11,84.6%,12
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,French,5,2,0,2,80.0%,0,80.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Geography,19,3,5,6,73.7%,3,89.5%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,German,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Health and Food Technology,10,0,3,0,30.0%,6,90.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,History,15,6,0,2,53.3%,1,60.0%,6
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Human Biology,32,10,4,12,81.3%,3,90.6%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Mathematics,39,11,7,4,56.4%,8,76.9%,9
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Modern Studies,32,18,6,4,87.5%,1,90.6%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Music,15,5,4,4,86.7%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Photography,11,0,6,4,90.9%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Physical Education,17,7,8,1,94.1%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Physics,22,2,3,7,54.5%,2,63.6%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,"Religious, Moral and Philosophical Studies",19,2,3,3,42.1%,4,63.2%,7
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Higher,Spanish,14,2,5,2,64.3%,4,92.9%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Art and Design (Expressive),2,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Biology,7,1,1,1,42.9%,2,71.4%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Chemistry,5,2,0,1,60.0%,1,80.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Computing Science,3,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,English,4,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Health and Food Technology,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,History,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Mathematics,9,1,3,1,55.6%,3,88.9%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Modern Studies,8,2,1,3,75.0%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Music,13,6,4,1,84.6%,1,92.3%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Physics,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,"Religious, Moral and Philosophical Studies",4,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,Advanced,Spanish,1,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Administration and IT,18,1,4,5,55.6%,6,88.9%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Applications of Mathematics,94,27,11,13,54.3%,23,78.7%,20
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Art and Design,16,6,5,4,93.8%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Biology,70,29,12,13,77.1%,9,90.0%,7
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Business Management,33,11,4,9,72.7%,5,87.9%,4
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Chemistry,33,21,3,7,93.9%,1,97.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Computing Science,24,13,1,4,75.0%,5,95.8%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,English,130,53,34,28,88.5%,11,96.9%,4
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,English for Speakers of Other Languages,8,0,1,3,50.0%,4,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,French,13,8,2,2,92.3%,0,92.3%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Geography,14,8,4,1,92.9%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Health and Food Technology,12,4,2,4,83.3%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,History,62,28,15,9,83.9%,5,91.9%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Mathematics,64,26,18,8,81.3%,7,92.2%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Modern Studies,24,12,4,2,75.0%,3,87.5%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Music,31,20,6,3,93.5%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Physical Education,28,25,3,0,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Physics,34,14,7,4,73.5%,3,82.4%,6
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Practical Cookery,26,9,11,3,88.5%,1,92.3%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Practical Woodworking,13,3,4,4,84.6%,0,84.6%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,"Religious, Moral and Philosophical Studies",16,7,1,5,81.3%,0,81.3%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Spanish,13,4,0,3,53.8%,3,76.9%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Administration and IT,3,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Applications of Mathematics,8,2,2,2,75.0%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Art and Design,7,3,1,3,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Biology,39,16,7,8,79.5%,6,94.9%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Business Management,24,12,5,4,87.5%,1,91.7%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Chemistry,29,15,8,6,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Computing Science,7,5,2,0,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,English,87,35,23,15,83.9%,13,98.9%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,French,7,1,1,3,71.4%,2,100.0%,0
