 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Applications of Mathematics,60,17,11,11,65.0%,11,83.3%,10
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Art and Design,50,37,10,3,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Biology,126,69,32,12,89.7%,5,93.7%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Business Management,50,25,11,6,84.0%,4,92.0%,4
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Chemistry,121,77,14,20,91.7%,4,95.0%,6
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Computing Science,63,28,10,11,77.8%,6,87.3%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Drama,19,11,5,3,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Engineering Science,24,22,2,0,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English,168,108,37,19,97.6%,3,99.4%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English for Speakers of Other Languages,8,2,4,1,87.5%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,French,26,20,5,0,96.2%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Geography,43,31,9,2,97.7%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Graphic Communication,21,8,4,7,90.5%,1,95.2%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Health and Food Technology,2,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,History,66,28,15,13,84.8%,8,97.0%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Mathematics,135,97,16,16,95.6%,3,97.8%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Modern Studies,90,53,15,12,88.9%,7,96.7%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Music,12,3,3,2,66.7%,2,83.3%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Physical Education,53,37,9,6,98.1%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Physics,103,61,20,12,90.3%,6,96.1%,4
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Cookery,39,20,9,3,82.1%,6,97.4%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Electronics,12,6,0,2,66.7%,4,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Metalworking,12,1,5,3,75.0%,2,91.7%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Woodworking,11,4,4,2,90.9%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Spanish,8,4,2,2,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Accounting,26,5,5,5,57.7%,3,69.2%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Administration and IT,2,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Applications of Mathematics,27,17,5,5,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Art and Design,32,12,9,8,90.6%,3,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Biology,31,16,9,2,87.1%,4,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Business Management,55,18,18,9,81.8%,5,90.9%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Chemistry,74,37,17,9,85.1%,8,95.9%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Computing Science,33,15,7,6,84.8%,4,97.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Drama,10,5,2,1,80.0%,2,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Engineering Science,17,5,4,3,70.6%,4,94.1%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English,104,49,31,12,88.5%,7,95.2%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English for Speakers of Other Languages,12,8,2,2,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,French,17,12,3,1,94.1%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Geography,16,11,1,2,87.5%,1,93.8%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Graphic Communication,9,1,3,2,66.7%,3,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Health and Food Technology,10,1,4,4,90.0%,0,90.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,History,44,30,9,4,97.7%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Human Biology,48,21,7,10,79.2%,7,93.8%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Mathematics,105,52,21,14,82.9%,10,92.4%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Modern Studies,41,25,5,9,95.1%,1,97.6%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Music,36,21,8,6,97.2%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Physical Education,31,24,3,3,96.8%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Physics,59,29,12,13,91.5%,3,96.6%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Politics,11,3,2,2,63.6%,3,90.9%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,"Religious, Moral and Philosophical Studies",22,3,10,5,81.8%,3,95.5%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Spanish,6,6,0,0,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Art and Design (Design),3,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Art and Design (Expressive),6,1,4,1,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Biology,26,9,5,7,80.8%,3,92.3%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Chemistry,32,6,9,9,75.0%,3,84.4%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Drama,13,4,6,2,92.3%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,English,6,3,1,1,83.3%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,French,6,4,0,2,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Geography,5,1,4,0,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,History,5,0,3,1,80.0%,0,80.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Mathematics,43,14,13,10,86.0%,1,88.4%,5
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Modern Studies,7,3,2,1,85.7%,0,85.7%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Music,13,9,3,1,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Physics,29,6,8,5,65.5%,7,89.7%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Spanish,4,[c],[c],[c],[c],[c],[c],[c]
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Administration and IT,10,3,2,2,70.0%,2,90.0%,1
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Applications of Mathematics,133,40,31,30,75.9%,16,88.0%,16
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Art and Design,29,9,7,9,86.2%,4,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Biology,62,14,11,17,67.7%,13,88.7%,7
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Business Management,13,0,5,2,53.8%,6,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Chemistry,37,10,9,10,78.4%,5,91.9%,3
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Computing Science,26,9,7,5,80.8%,3,92.3%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Drama,12,10,1,0,91.7%,1,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Engineering Science,15,8,5,2,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,English,135,32,42,30,77.0%,23,94.1%,8
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,French,8,5,2,1,100.0%,0,100.0%,0
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Geography,8,1,1,1,37.5%,1,50.0%,4
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Graphic Communication,25,8,5,6,76.0%,4,92.0%,2
2023,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5235634,Bridge Of Don Academy,National 5,Health and Food Technology,4,[c],[c],[c],[c],[c],[c],[c]
