 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Accounting,17,11,3,2,0.9411764706,0,0.9411764706,1
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Art and Design,32,15,9,8,1,0,1,0
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Biology,73,38,19,7,0.8767123288,4,0.9315068493,5
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Business Management,48,16,12,11,0.8125,6,0.9375,3
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Chemistry,73,41,16,6,0.8630136986,4,0.9178082192,6
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Computing Science,26,9,5,6,0.7692307692,5,0.9615384615,1
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Design and Manufacture,5,1,1,0,0.4,2,0.8,1
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Drama,36,15,11,9,0.9722222222,1,1,0
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Engineering Science,14,5,5,3,0.9285714286,0,0.9285714286,1
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English,176,89,50,23,0.9204545455,11,0.9829545455,3
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,French,34,33,0,1,1,0,1,0
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Geography,20,8,7,2,0.85,2,0.95,1
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Graphic Communication,8,4,1,2,0.875,1,1,0
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,History,72,46,12,6,0.8888888889,6,0.9722222222,2
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Hospitality: Practical Cookery,24,14,7,2,0.9583333333,1,1,0
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Mathematics,181,82,22,25,0.7127071823,24,0.8453038674,28
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Modern Studies,53,17,18,9,0.8301886792,4,0.9056603774,5
2019,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Music,9,7,1,1,1,0,1,0
