 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Accounting,16,7,2,2,68.8%,2,81.3%,3
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Applications of Mathematics,52,19,10,12,78.8%,7,92.3%,4
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Art and Design,45,36,8,1,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Biology,114,60,15,15,78.9%,16,93.0%,8
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Business Management,52,20,13,16,94.2%,2,98.1%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Chemistry,92,59,13,9,88.0%,6,94.6%,5
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Computing Science,46,27,7,6,87.0%,3,93.5%,3
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Drama,22,13,3,5,95.5%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Engineering Science,14,9,2,2,92.9%,0,92.9%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English,174,107,43,17,96.0%,5,98.9%,2
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English for Speakers of Other Languages,7,5,1,0,85.7%,0,85.7%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,French,23,23,0,0,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Geography,19,16,1,2,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Graphic Communication,7,4,2,1,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Health and Food Technology,4,[c],[c],[c],[c],[c],[c],[c]
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,History,57,38,8,3,86.0%,3,91.2%,5
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Mathematics,157,104,19,15,87.9%,12,95.5%,7
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Modern Studies,61,28,15,12,90.2%,4,96.7%,2
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Music,22,9,6,2,77.3%,4,95.5%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Music Technology,8,2,2,2,75.0%,1,87.5%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Physical Education,33,21,7,5,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Physics,64,39,15,6,93.8%,2,96.9%,2
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Cookery,27,8,12,4,88.9%,3,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Electronics,10,2,2,1,50.0%,3,80.0%,2
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Practical Woodworking,15,5,5,4,93.3%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Spanish,8,7,1,0,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Accounting,19,6,7,4,89.5%,2,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Art and Design,31,11,10,6,87.1%,3,96.8%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Biology,55,21,13,13,85.5%,3,90.9%,5
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Business Management,77,23,24,13,77.9%,7,87.0%,10
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Chemistry,84,32,19,12,75.0%,13,90.5%,8
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Computing Science,36,16,8,11,97.2%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Drama,23,14,6,2,95.7%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Engineering Science,19,10,5,2,89.5%,1,94.7%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English,113,40,46,16,90.3%,7,96.5%,4
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English for Speakers of Other Languages,5,1,2,1,80.0%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,French,14,13,0,1,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Geography,24,19,3,1,95.8%,1,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Graphic Communication,11,0,4,4,72.7%,3,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Health and Food Technology,17,2,8,2,70.6%,2,82.4%,3
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,History,34,24,7,3,100.0%,0,100.0%,0
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Human Biology,35,16,7,6,82.9%,5,97.1%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Mandarin (Simplified),1,[c],[c],[c],[c],[c],[c],[c]
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Mathematics,115,63,24,15,88.7%,5,93.0%,8
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Modern Studies,49,35,10,3,98.0%,0,98.0%,1
2022,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Music,15,8,3,4,100.0%,0,100.0%,0
