 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Engineering Science,20,12,5,2,95.0%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English,93,50,20,13,89.2%,6,95.7%,4
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,English for Speakers of Other Languages,5,2,3,0,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,French,9,4,4,0,88.9%,0,88.9%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Geography,28,14,3,7,85.7%,2,92.9%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,German,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Graphic Communication,15,2,5,5,80.0%,2,93.3%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Health and Food Technology,15,3,5,4,80.0%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,History,26,12,7,3,84.6%,3,96.2%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Human Biology,38,22,2,8,84.2%,5,97.4%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Mathematics,109,77,16,8,92.7%,4,96.3%,4
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Modern Studies,42,27,7,4,90.5%,2,95.2%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Music,16,13,2,1,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Physical Education,22,13,6,2,95.5%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Physics,73,39,17,7,86.3%,5,93.2%,5
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Politics,15,1,4,6,73.3%,3,93.3%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,"Religious, Moral and Philosophical Studies",21,15,2,1,85.7%,2,95.2%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Higher,Spanish,5,2,1,1,80.0%,0,80.0%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Art and Design (Design),1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Art and Design (Expressive),10,3,7,0,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Biology,26,6,4,7,65.4%,7,92.3%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Business Management,17,2,3,5,58.8%,4,82.4%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Chemistry,34,7,10,11,82.4%,3,91.2%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,Advanced,Drama,11,4,2,2,72.7%,1,81.8%,2
